Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
09-25_488.csv_measured_optical_power_vs_acquisition_duration.jpg;09-25_488.csv_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.5672720588235294;0.7775042623322271;2.511;-0.001;442.8210346213172;-0.07968127490038945

Result table values
power_instruction;488_power;488_error
0.0;-1.0;-0.1
1.0;21.0;2.1
2.0;43.0;4.3
5.0;108.0;10.8
10.0;218.0;21.8
20.0;445.0;44.5
50.0;1154.0;115.4
75.0;1804.0;180.4
100.0;2508.0;250.8
time;measured_optical_power_error;measured_optical_power_average
0.0;-0.0;-0.0
1.0;0.0;0.0
2.0;0.0;0.0
3.0;-1.0E-4;-0.001
4.0;-1.0E-4;-0.001
5.0;-1.0E-4;-0.001
6.0;-1.0E-4;-0.001
7.0;-1.0E-4;-0.001
8.0;-1.0E-4;-0.001
9.0;-1.0E-4;-0.001
10.0;-1.0E-4;-0.001
11.0;-1.0E-4;-0.001
12.0;-1.0E-4;-0.001
13.0;-1.0E-4;-0.001
14.0;-1.0E-4;-0.001
15.0;-1.0E-4;-0.001
16.0;-1.0E-4;-0.001
17.0;-1.0E-4;-0.001
18.0;-1.0E-4;-0.001
19.0;-1.0E-4;-0.001
20.0;-1.0E-4;-0.001
21.0;-1.0E-4;-0.001
22.0;8.0E-4;0.008
23.0;0.0021000000000000003;0.021
24.0;0.0021000000000000003;0.021
25.0;0.0021000000000000003;0.021
26.0;0.0021000000000000003;0.021
27.0;0.0021000000000000003;0.021
28.0;0.0021000000000000003;0.021
29.0;0.0021000000000000003;0.021
30.0;0.0021000000000000003;0.021
31.0;0.0021000000000000003;0.021
32.0;0.0021000000000000003;0.021
33.0;0.0032;0.032
34.0;0.0043;0.043
35.0;0.0043;0.043
36.0;0.0043;0.043
37.0;0.0043;0.043
38.0;0.0043;0.043
39.0;0.0043;0.043
40.0;0.0043;0.043
41.0;0.0043;0.043
42.0;0.0043;0.043
43.0;0.0043;0.043
44.0;0.0043;0.043
45.0;0.0045;0.045
46.0;0.010700000000000001;0.107
47.0;0.010700000000000001;0.107
48.0;0.010700000000000001;0.107
49.0;0.0108;0.108
50.0;0.0108;0.108
51.0;0.010700000000000001;0.107
52.0;0.0108;0.108
53.0;0.0109;0.109
54.0;0.0109;0.109
55.0;0.0108;0.108
56.0;0.0109;0.109
57.0;0.0108;0.108
58.0;0.0108;0.108
59.0;0.0109;0.109
60.0;0.0108;0.108
61.0;0.0109;0.109
62.0;0.0108;0.108
63.0;0.0108;0.108
64.0;0.0108;0.108
65.0;0.0108;0.108
66.0;0.0109;0.109
67.0;0.0108;0.108
68.0;0.0108;0.108
69.0;0.0108;0.108
70.0;0.0108;0.108
71.0;0.021500000000000002;0.215
72.0;0.0218;0.218
73.0;0.0218;0.218
74.0;0.0218;0.218
75.0;0.0218;0.218
76.0;0.0218;0.218
77.0;0.0218;0.218
78.0;0.0218;0.218
79.0;0.0218;0.218
80.0;0.0218;0.218
81.0;0.0218;0.218
82.0;0.028499999999999998;0.285
83.0;0.044500000000000005;0.445
84.0;0.044500000000000005;0.445
85.0;0.044500000000000005;0.445
86.0;0.044500000000000005;0.445
87.0;0.044500000000000005;0.445
88.0;0.044500000000000005;0.445
89.0;0.044500000000000005;0.445
90.0;0.044500000000000005;0.445
91.0;0.044500000000000005;0.445
92.0;0.044500000000000005;0.445
93.0;0.044500000000000005;0.445
94.0;0.044500000000000005;0.445
95.0;0.044500000000000005;0.445
96.0;0.044500000000000005;0.445
97.0;0.044500000000000005;0.445
98.0;0.0752;0.752
99.0;0.1154;1.154
100.0;0.1154;1.154
101.0;0.1154;1.154
102.0;0.1154;1.154
103.0;0.1154;1.154
104.0;0.1154;1.154
105.0;0.1154;1.154
106.0;0.1154;1.154
107.0;0.1154;1.154
108.0;0.1154;1.154
109.0;0.1154;1.154
110.0;0.1154;1.154
111.0;0.1154;1.154
112.0;0.1154;1.154
113.0;0.1154;1.154
114.0;0.1271;1.271
115.0;0.1799;1.799
116.0;0.18030000000000002;1.803
117.0;0.1804;1.804
118.0;0.1804;1.804
119.0;0.1804;1.804
120.0;0.18030000000000002;1.803
121.0;0.1804;1.804
122.0;0.18030000000000002;1.803
123.0;0.18030000000000002;1.803
124.0;0.18030000000000002;1.803
125.0;0.19140000000000001;1.914
126.0;0.2492;2.492
127.0;0.2503;2.503
128.0;0.2505;2.505
129.0;0.25070000000000003;2.507
130.0;0.2508;2.508
131.0;0.2509;2.509
132.0;0.251;2.51
133.0;0.251;2.51
134.0;0.25110000000000005;2.511
135.0;0.25110000000000005;2.511
