Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
09-25_730_measured_optical_power_vs_acquisition_duration.jpg;09-25_730_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.0961237113402062;0.13161046862433873;0.409;0.0;425.4933504933504;0.0

Result table values
power_instruction;730_power;730_error
0.0;-0.0;-0.0
1.0;4.0;0.4
2.0;8.0;0.8
5.0;20.0;2.0
10.0;40.0;4.0
20.0;79.0;7.9
50.0;200.0;20.0
75.0;303.0;30.3
100.0;404.0;40.4
time;measured_optical_power_error;measured_optical_power_average
0.0;0.0;0.0
1.0;0.0;0.0
2.0;0.0;0.0
3.0;0.0;0.0
4.0;0.0;0.0
5.0;-0.0;-0.0
6.0;-0.0;-0.0
7.0;-0.0;-0.0
8.0;-0.0;-0.0
9.0;-0.0;-0.0
10.0;-0.0;-0.0
11.0;-0.0;-0.0
12.0;-0.0;-0.0
13.0;-0.0;-0.0
14.0;-0.0;-0.0
15.0;-0.0;-0.0
16.0;-0.0;-0.0
17.0;-0.0;-0.0
18.0;1.0E-4;0.001
19.0;1.0E-4;0.001
20.0;2.0E-4;0.002
21.0;4.0E-4;0.004
22.0;4.0E-4;0.004
23.0;4.0E-4;0.004
24.0;4.0E-4;0.004
25.0;4.0E-4;0.004
26.0;4.0E-4;0.004
27.0;4.0E-4;0.004
28.0;4.0E-4;0.004
29.0;4.0E-4;0.004
30.0;4.0E-4;0.004
31.0;4.0E-4;0.004
32.0;8.0E-4;0.008
33.0;8.0E-4;0.008
34.0;8.0E-4;0.008
35.0;8.0E-4;0.008
36.0;8.0E-4;0.008
37.0;8.0E-4;0.008
38.0;8.0E-4;0.008
39.0;8.0E-4;0.008
40.0;0.0011;0.011
41.0;0.002;0.02
42.0;0.002;0.02
43.0;0.002;0.02
44.0;0.002;0.02
45.0;0.002;0.02
46.0;0.002;0.02
47.0;0.002;0.02
48.0;0.002;0.02
49.0;0.002;0.02
50.0;0.0039000000000000003;0.039
51.0;0.004;0.04
52.0;0.004;0.04
53.0;0.004;0.04
54.0;0.004;0.04
55.0;0.0039000000000000003;0.039
56.0;0.004;0.04
57.0;0.004;0.04
58.0;0.004;0.04
59.0;0.004;0.04
60.0;0.006700000000000001;0.067
61.0;0.008;0.08
62.0;0.0079;0.079
63.0;0.0079;0.079
64.0;0.0079;0.079
65.0;0.0079;0.079
66.0;0.0079;0.079
67.0;0.0079;0.079
68.0;0.0079;0.079
69.0;0.0079;0.079
70.0;0.0154;0.154
71.0;0.020000000000000004;0.2
72.0;0.020100000000000003;0.201
73.0;0.020000000000000004;0.2
74.0;0.020000000000000004;0.2
75.0;0.020000000000000004;0.2
76.0;0.020000000000000004;0.2
77.0;0.020000000000000004;0.2
78.0;0.020000000000000004;0.2
79.0;0.020200000000000003;0.202
80.0;0.026500000000000003;0.265
81.0;0.030100000000000002;0.301
82.0;0.0304;0.304
83.0;0.0303;0.303
84.0;0.0304;0.304
85.0;0.0304;0.304
86.0;0.0304;0.304
87.0;0.030100000000000002;0.301
88.0;0.0305;0.305
89.0;0.0369;0.369
90.0;0.0409;0.409
91.0;0.040600000000000004;0.406
92.0;0.040600000000000004;0.406
93.0;0.040400000000000005;0.404
94.0;0.0403;0.403
95.0;0.040100000000000004;0.401
96.0;0.0398;0.398
