Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
10-25_561_measured_optical_power_vs_acquisition_duration.jpg;10-25_561_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
1.6123518518518514;1.4993456200751716;4.483;-0.002;278.16509125156495;-0.08926578888639458

Result table values
power_instruction;561_power;561_error
0.0;-0.0;-0.0
1.0;45.0;4.5
2.0;90.0;9.0
5.0;224.0;22.4
10.0;447.0;44.7
20.0;898.0;89.8
30.0;1351.0;135.1
40.0;1795.0;179.5
50.0;2241.0;224.1
60.0;2695.0;269.5
70.0;3140.0;314.0
80.0;3583.0;358.3
90.0;4034.0;403.4
100.0;4480.0;448.0
time;measured_optical_power_error;measured_optical_power_average
0.0;-2.0E-4;-0.002
1.0;-2.0E-4;-0.002
2.0;4.0E-4;0.004
3.0;0.0012000000000000001;0.012
4.0;0.0011;0.011
5.0;0.0011;0.011
6.0;0.0011;0.011
7.0;0.0012000000000000001;0.012
8.0;-0.0;-0.0
9.0;-0.0;-0.0
10.0;-0.0;-0.0
11.0;-0.0;-0.0
12.0;-0.0;-0.0
13.0;-0.0;-0.0
14.0;-0.0;-0.0
15.0;-0.0;-0.0
16.0;-0.0;-0.0
17.0;-0.0;-0.0
18.0;-0.0;-0.0
19.0;7.000000000000001E-4;0.007
20.0;9.0E-4;0.009
21.0;9.0E-4;0.009
22.0;9.0E-4;0.009
23.0;0.0039000000000000003;0.039
24.0;0.0045;0.045
25.0;0.0045;0.045
26.0;0.0045;0.045
27.0;0.0045;0.045
28.0;0.0045;0.045
29.0;0.0045;0.045
30.0;0.0045;0.045
31.0;0.0045;0.045
32.0;0.0045;0.045
33.0;0.0053;0.053
34.0;0.009;0.09
35.0;0.009;0.09
36.0;0.009;0.09
37.0;0.009;0.09
38.0;0.009;0.09
39.0;0.009;0.09
40.0;0.009;0.09
41.0;0.009;0.09
42.0;0.009;0.09
43.0;0.0194;0.194
44.0;0.022400000000000003;0.224
45.0;0.022400000000000003;0.224
46.0;0.022400000000000003;0.224
47.0;0.022400000000000003;0.224
48.0;0.022400000000000003;0.224
49.0;0.022400000000000003;0.224
50.0;0.022400000000000003;0.224
51.0;0.022400000000000003;0.224
